id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
178;north west;5366;no;basic;doctor;22/02/11;feb;unemployed;f;88396;urban;married;70;5;29;0;4;personal auto;personal l2;offer1;agent;223;four-door car;large
179;central;2517;no;basic;college;26/02/11;feb;unemployed;f;85283;rural;married;69;30;71;0;1;personal auto;personal l3;offer2;call center;42;four-door car;medsize
180;west region;5583;no;basic;high school or below;22/02/11;feb;employed;f;57925;urban;single;72;33;13;1;3;corporate auto;corporate l2;offer1;agent;204;two-door car;medsize
181;west region;7356;no;extended;high school or below;09/01/11;jan;employed;m;81145;urban;married;92;34;92;0;8;corporate auto;corporate l2;offer2;call center;321;two-door car;large
182;west region;10144;no;extended;college;29/01/11;jan;medical leave;f;27231;suburban;married;88;0;7;0;2;personal auto;personal l2;offer1;branch;422;four-door car;medsize
183;north west;8672;no;basic;college;26/01/11;jan;employed;f;22547;suburban;divorced;112;7;60;0;3;corporate auto;corporate l3;offer1;agent;537;suv;medsize
184;west region;2674;yes;basic;college;15/02/11;feb;employed;m;56342;suburban;single;69;12;89;0;1;special auto;special l3;offer2;call center;331;four-door car;small
185;west region;34611;yes;basic;high school or below;14/01/11;jan;employed;f;20090;suburban;married;109;10;59;0;2;special auto;special l3;offer2;agent;523;sports car;medsize
186;west region;8071;no;basic;bachelor;07/02/11;feb;employed;m;72149;rural;married;101;18;43;0;6;personal auto;personal l2;offer2;call center;69;suv;medsize
187;central;2511;no;basic;college;15/01/11;jan;medical leave;m;17658;suburban;married;65;10;44;0;1;personal auto;personal l3;offer3;web;312;suv;medsize
188;west region;7255;no;extended;college;05/01/11;jan;medical leave;m;10710;suburban;married;94;12;33;0;7;personal auto;personal l2;offer1;branch;451;two-door car;small
189;central;14510;no;basic;high school or below;25/01/11;jan;employed;m;60120;urban;married;182;30;21;0;6;personal auto;personal l3;offer2;branch;716;luxury car;medsize
190;west region;11009;yes;premium;bachelor;24/01/11;jan;employed;f;51643;suburban;single;283;16;43;0;1;corporate auto;corporate l3;offer2;agent;1358;luxury car;medsize
191;central;21991;no;basic;college;12/01/11;jan;employed;f;80807;rural;married;109;1;73;0;2;personal auto;personal l3;offer2;branch;132;suv;large
192;central;4633;no;basic;college;15/01/11;jan;medical leave;m;27132;suburban;single;63;32;59;1;4;personal auto;personal l1;offer1;branch;302;four-door car;medsize
193;west region;5272;no;basic;doctor;18/02/11;feb;employed;m;85607;rural;single;66;26;1;0;3;personal auto;personal l2;offer2;agent;67;four-door car;medsize
194;central;4340;no;basic;college;06/01/11;jan;unemployed;m;60346;suburban;single;62;22;39;0;6;personal auto;personal l2;offer3;branch;446;four-door car;medsize
195;west region;5488;no;basic;high school or below;17/02/11;feb;employed;f;33881;rural;married;68;11;83;0;9;personal auto;personal l3;offer2;web;65;four-door car;large
196;west region;14228;no;extended;bachelor;16/01/11;jan;employed;m;31650;suburban;married;121;25;17;0;2;personal auto;personal l3;offer1;branch;580;suv;medsize
197;west region;12840;no;extended;college;03/02/11;feb;unemployed;f;88204;suburban;single;90;1;94;0;2;personal auto;personal l2;offer1;call center;648;two-door car;large
198;central;2673;no;basic;master;13/02/11;feb;employed;m;28728;suburban;married;67;8;10;0;1;personal auto;personal l3;offer4;branch;321;four-door car;small
199;north west;5332;yes;basic;doctor;22/02/11;feb;employed;f;68931;urban;married;66;32;30;0;7;corporate auto;corporate l2;offer2;branch;309;four-door car;medsize
200;central;10064;no;extended;high school or below;03/02/11;feb;employed;f;20440;suburban;married;128;11;54;2;9;corporate auto;corporate l3;offer3;branch;614;sports car;medsize
201;east;8972;no;basic;bachelor;27/01/11;jan;employed;m;89689;rural;divorced;74;23;4;0;2;personal auto;personal l3;offer1;branch;136;four-door car;large
202;west region;8197;no;basic;college;06/01/11;jan;unemployed;f;61613;suburban;married;110;27;87;0;3;personal auto;personal l3;offer2;agent;528;suv;medsize
203;north west;3514;no;extended;bachelor;23/02/11;feb;employed;f;73643;rural;single;89;2;2;0;1;corporate auto;corporate l3;offer2;agent;147;four-door car;medsize
204;west region;4293;no;basic;college;31/01/11;jan;unemployed;f;40056;suburban;single;61;18;15;0;8;corporate auto;corporate l3;offer1;agent;292;two-door car;large
205;central;3567;yes;basic;bachelor;07/01/11;jan;unemployed;m;79744;suburban;married;102;28;11;0;1;corporate auto;corporate l2;offer2;agent;660;suv;medsize
206;central;2580;yes;basic;college;09/02/11;feb;employed;m;46900;suburban;married;66;13;59;0;1;personal auto;personal l2;offer2;web;316;sports car;large
207;central;46805;no;extended;high school or below;25/02/11;feb;employed;m;83006;urban;married;235;8;61;1;2;personal auto;personal l1;offer3;agent;1065;luxury suv;small
208;east;2666;no;basic;bachelor;08/02/11;feb;employed;f;79251;suburban;married;67;10;32;1;1;personal auto;personal l3;offer2;web;321;four-door car;medsize
209;west region;13057;no;basic;college;13/02/11;feb;unemployed;m;43171;suburban;single;190;9;67;0;7;personal auto;personal l3;offer3;branch;1833;luxury suv;small
210;west region;5823;no;basic;high school or below;31/01/11;jan;employed;f;88359;rural;divorced;73;1;49;0;9;personal auto;personal l3;offer2;call center;35;two-door car;medsize
211;west region;9536;no;extended;bachelor;07/01/11;jan;employed;f;62421;suburban;divorced;80;22;50;2;2;corporate auto;corporate l3;offer1;call center;384;four-door car;medsize
212;central;8107;no;extended;college;23/01/11;jan;unemployed;m;71094;suburban;married;76;0;91;0;2;corporate auto;corporate l1;offer3;branch;364;two-door car;small
213;west region;3484;no;extended;bachelor;10/01/11;jan;employed;m;34307;rural;divorced;92;33;62;2;1;personal auto;personal l3;offer1;call center;186;four-door car;medsize
214;north west;34039;no;basic;college;28/01/11;jan;unemployed;m;95135;suburban;divorced;104;26;66;0;2;personal auto;personal l3;offer2;agent;499;sports car;medsize
215;east;7995;no;basic;high school or below;02/01/11;jan;employed;f;66685;rural;married;67;35;50;2;2;personal auto;personal l2;offer2;call center;38;two-door car;large
216;central;11611;no;extended;bachelor;11/02/11;feb;employed;m;28915;suburban;single;76;10;49;0;2;personal auto;personal l3;offer4;web;364;four-door car;medsize
217;central;4454;no;basic;college;22/02/11;feb;unemployed;f;23438;suburban;single;68;5;72;1;3;personal auto;personal l3;offer1;branch;326;four-door car;large
218;central;5395;no;basic;bachelor;24/02/11;feb;unemployed;f;30997;suburban;married;74;13;30;0;4;personal auto;personal l2;offer3;web;355;four-door car;medsize
219;central;8447;no;basic;bachelor;18/02/11;feb;employed;f;61337;rural;married;105;35;46;0;9;personal auto;personal l2;offer1;call center;2;suv;medsize
220;central;2927;no;basic;bachelor;14/02/11;feb;employed;f;75685;suburban;married;73;35;47;0;1;personal auto;personal l3;offer2;agent;369;four-door car;small
221;central;2960;no;extended;high school or below;05/02/11;feb;unemployed;f;85272;suburban;single;82;0;28;0;1;personal auto;personal l2;offer1;agent;590;four-door car;medsize
222;east;6582;no;basic;high school or below;15/02/11;feb;unemployed;f;89169;suburban;single;62;3;44;0;2;special auto;special l3;offer1;agent;297;four-door car;medsize
223;east;2693;no;basic;master;15/01/11;jan;employed;f;63684;suburban;single;68;16;87;0;1;personal auto;personal l3;offer2;agent;343;two-door car;medsize
224;west region;2844;no;basic;bachelor;06/02/11;feb;employed;m;80306;suburban;divorced;71;11;12;0;1;corporate auto;corporate l1;offer3;call center;340;two-door car;medsize
225;west region;6331;no;extended;bachelor;21/02/11;feb;unemployed;f;37975;rural;married;87;3;82;0;3;personal auto;personal l2;offer1;branch;94;sports car;medsize
226;central;5837;no;basic;doctor;10/01/11;jan;employed;m;83308;suburban;married;73;2;81;0;7;personal auto;personal l2;offer3;agent;419;four-door car;medsize
227;west region;4727;no;basic;bachelor;03/01/11;jan;unemployed;m;44305;suburban;single;72;23;7;0;3;personal auto;personal l2;offer2;call center;345;four-door car;medsize
228;east;4434;no;premium;high school or below;13/01/11;jan;employed;m;34549;rural;married;111;8;78;0;1;personal auto;personal l2;offer2;web;125;four-door car;medsize
229;west region;5568;yes;extended;high school or below;01/01/11;jan;unemployed;m;35581;suburban;single;79;21;53;1;7;corporate auto;corporate l3;offer1;agent;407;two-door car;medsize
230;east;7031;no;extended;master;24/01/11;jan;retired;m;16224;suburban;married;93;13;55;0;9;corporate auto;corporate l1;offer3;web;498;four-door car;medsize
231;west region;2449;no;basic;high school or below;04/02/11;feb;employed;m;47122;suburban;single;62;6;77;0;1;personal auto;personal l2;offer2;branch;297;two-door car;medsize
232;central;2504;no;basic;college;09/01/11;jan;unemployed;m;60282;suburban;single;69;23;15;0;1;personal auto;personal l2;offer2;branch;496;four-door car;medsize
233;west region;9095;yes;basic;college;11/01/11;jan;employed;m;37937;suburban;married;116;11;42;0;5;personal auto;personal l2;offer2;call center;556;suv;medsize
234;central;8071;no;basic;high school or below;18/02/11;feb;unemployed;m;67945;suburban;single;112;3;84;0;7;personal auto;personal l3;offer1;web;806;suv;small
235;north west;15032;no;basic;college;17/01/11;jan;medical leave;m;17150;suburban;married;65;28;19;0;2;personal auto;personal l2;offer1;agent;689;two-door car;medsize
236;central;8256;yes;basic;bachelor;25/01/11;jan;employed;f;62902;rural;married;69;14;94;0;2;personal auto;personal l3;offer2;web;159;two-door car;medsize
237;north west;11009;yes;premium;bachelor;24/01/11;jan;employed;f;51643;suburban;single;283;16;43;0;1;special auto;special l3;offer2;agent;1358;luxury car;medsize
238;west region;5318;yes;basic;bachelor;12/01/11;jan;employed;f;25134;suburban;married;67;3;0;0;6;personal auto;personal l3;offer2;call center;321;four-door car;small
239;central;4733;no;basic;bachelor;06/01/11;jan;unemployed;f;13320;suburban;married;62;5;41;0;3;corporate auto;corporate l3;offer1;agent;740;four-door car;small
240;west region;33473;yes;basic;bachelor;11/01/11;jan;employed;f;33190;suburban;divorced;106;18;95;0;2;personal auto;personal l3;offer1;web;508;suv;medsize
241;north west;4550;no;premium;high school or below;08/02/11;feb;disabled;f;17913;suburban;married;116;0;39;0;1;personal auto;personal l3;offer3;web;556;four-door car;small
242;west region;4772;yes;extended;high school or below;18/02/11;feb;retired;m;20993;suburban;divorced;133;35;90;0;1;personal auto;personal l3;offer2;agent;638;suv;medsize
243;central;6285;no;extended;college;28/02/11;feb;employed;m;52210;suburban;married;80;6;74;0;9;personal auto;personal l1;offer1;branch;384;four-door car;medsize
244;north west;4434;no;basic;bachelor;20/02/11;feb;employed;f;58082;rural;married;112;31;66;1;1;personal auto;personal l3;offer1;call center;103;suv;medsize
245;north west;17254;no;basic;bachelor;14/01/11;jan;unemployed;m;50850;suburban;married;69;33;49;1;2;personal auto;personal l1;offer1;agent;331;four-door car;medsize
246;north west;2915;no;basic;college;08/01/11;jan;employed;m;86599;suburban;married;73;32;89;0;1;corporate auto;corporate l1;offer2;web;350;four-door car;medsize
247;north west;15762;no;basic;bachelor;15/02/11;feb;employed;f;44362;rural;married;66;15;75;0;2;corporate auto;corporate l3;offer2;call center;142;four-door car;small
248;north west;4273;no;premium;bachelor;30/01/11;jan;employed;f;82214;rural;married;106;11;19;1;1;personal auto;personal l1;offer3;branch;239;four-door car;medsize
249;central;2816;no;basic;high school or below;16/02/11;feb;employed;f;41228;suburban;single;71;19;13;0;1;personal auto;personal l3;offer1;branch;340;four-door car;small
250;central;5548;yes;basic;bachelor;13/01/11;jan;employed;m;67798;suburban;divorced;69;1;78;0;9;personal auto;personal l3;offer1;agent;331;four-door car;medsize
251;north west;32654;no;premium;bachelor;23/02/11;feb;unemployed;m;97936;suburban;single;153;7;75;0;2;personal auto;personal l3;offer3;branch;1101;suv;medsize
252;central;7687;no;basic;bachelor;26/02/11;feb;unemployed;f;98471;suburban;divorced;109;0;5;0;3;personal auto;personal l1;offer3;call center;523;suv;medsize
253;central;4151;no;basic;master;17/02/11;feb;unemployed;f;91743;urban;single;61;11;71;1;9;personal auto;personal l2;offer1;web;208;two-door car;medsize
254;west region;2927;no;basic;bachelor;15/02/11;feb;employed;m;51991;rural;married;73;4;95;0;1;personal auto;personal l3;offer2;web;124;four-door car;medsize
255;west region;2943;no;extended;high school or below;18/01/11;jan;unemployed;f;64286;suburban;single;81;13;23;0;1;personal auto;personal l3;offer4;branch;388;two-door car;large
256;north west;5320;no;basic;high school or below;25/02/11;feb;employed;f;88669;urban;married;66;9;18;1;4;personal auto;personal l2;offer1;call center;213;four-door car;medsize
257;north west;4858;no;basic;high school or below;03/01/11;jan;unemployed;m;22702;suburban;single;67;21;79;3;3;personal auto;personal l1;offer2;branch;482;four-door car;medsize
258;central;7590;no;basic;high school or below;02/01/11;jan;disabled;m;10375;suburban;married;66;10;95;0;2;personal auto;personal l3;offer1;branch;316;two-door car;medsize
259;north west;4605;yes;basic;college;28/01/11;jan;medical leave;f;22571;suburban;single;63;29;51;0;9;corporate auto;corporate l3;offer2;web;302;four-door car;large
260;west region;7555;no;premium;college;25/02/11;feb;unemployed;m;55749;suburban;single;114;15;50;0;3;personal auto;personal l3;offer1;branch;820;four-door car;medsize
261;north west;9587;no;premium;bachelor;31/01/11;jan;employed;m;84539;rural;married;119;10;71;0;4;personal auto;personal l3;offer1;call center;65;four-door car;medsize
262;north west;2780;no;basic;high school or below;12/01/11;jan;disabled;f;20261;suburban;divorced;72;4;55;0;1;personal auto;personal l2;offer4;web;345;two-door car;medsize
263;north west;4784;no;basic;bachelor;26/01/11;jan;employed;f;25813;urban;divorced;61;8;97;0;8;personal auto;personal l1;offer3;agent;205;four-door car;medsize
264;north west;4873;no;extended;high school or below;18/02/11;feb;employed;m;47824;urban;married;129;8;56;3;1;personal auto;personal l2;offer4;agent;546;suv;medsize
265;north west;4786;no;basic;bachelor;26/01/11;jan;unemployed;f;80275;suburban;single;68;4;67;0;9;corporate auto;corporate l1;offer1;agent;489;four-door car;small
266;west region;15994;no;premium;bachelor;16/02/11;feb;unemployed;m;61248;suburban;single;159;19;75;0;2;personal auto;personal l3;offer1;web;1410;suv;medsize
267;east;5395;no;basic;bachelor;15/02/11;feb;employed;f;86640;rural;married;67;2;25;0;5;personal auto;personal l1;offer2;web;65;four-door car;medsize
268;north west;2356;no;basic;bachelor;04/02/11;feb;unemployed;m;99078;suburban;married;63;22;94;0;1;personal auto;personal l3;offer1;agent;302;four-door car;medsize
269;east;5133;no;basic;master;10/02/11;feb;employed;m;53390;urban;married;64;13;41;0;5;personal auto;personal l2;offer3;branch;278;four-door car;medsize
270;north west;4996;no;basic;college;08/02/11;feb;employed;f;25915;suburban;single;64;13;62;0;7;corporate auto;corporate l3;offer1;agent;317;two-door car;medsize
271;central;4455;no;extended;high school or below;20/02/11;feb;unemployed;f;70712;suburban;married;121;16;64;0;1;personal auto;personal l3;offer4;agent;699;suv;medsize
